"name","description","uploaded_pretty","uploaded","data_id","course_id","game_style_name","game_style","theme_name","theme","difficulty_name","difficulty","tags_name_1","tags_name_2","tag1","tag2","world_record_pretty","world_record","upload_time_pretty","upload_time","num_comments","clear_condition","clear_condition_magnitude","clears","attempts","clear_rate_pretty","clear_rate","plays","versus_matches","coop_matches","likes","boos","unique_players_and_versus","weekly_likes","weekly_plays"
"♪","","1-8-2024 0:47:46",1722473266,51575918,"PDYC6K2SF","SM3DW",4,"Airship",3,"Easy",0,"Standard"," Technical",1,11,"00:20.238",20238,"00:27.979",27979,0,0,0,7,26,"26.92%",26.9230769230769,12,0,0,2,0,9,NA,NA
"3d world underground","little bit of twisted trolling","4-9-2023 17:36:22",1693848982,46640978,"02VSLLLQG","SM3DW",4,"Underground",1,"Easy",0,"Speedrun"," Art",3,10,"00:09.901",9901,"00:13.275",13275,1,2111528319,0,13,17,"76.47%",76.4705882352941,14,0,0,1,0,14,NA,NA
"意味が分かると簡単なコース","意味が分かると簡単です。","25-10-2023 10:10:09",1698228609,47377105,"YSLBV8KPG","NSMBU",3,"Forest",9,"Easy",0,"Puzzle solving"," Technical",2,11,"00:12.101",12101,"00:27.960",27960,1,0,0,49,49,"100.00%",100,49,1,3,8,1,48,NA,NA
"... no words","... I have a feeling that one part of you wants to but one part does not.","1-7-2019 14:21:23",1561990883,3849431,"R432GXNVG","SM3DW",4,"Overworld",0,"Easy",0,"Speedrun"," Short and sweet",3,6,"00:05.747",5747,"00:13.376",13376,4,0,0,306,317,"96.53%",96.5299684542587,307,5,0,30,5,270,NA,NA
"old mario","you are vs DK.","29-5-2024 17:58:12",1717005492,50682181,"86RDNW9DG","SMB1",0,"Overworld",0,"Easy",0,"None"," None",0,0,"00:21.573",21573,"00:39.340",39340,0,0,0,33,73,"45.21%",45.2054794520548,36,0,0,5,0,32,NA,NA
"タイトルのやつ(じどうコースです。)","自動コースです。(楽しんでもらえるとこうえいです。)","15-7-2019 2:37:38",1563158258,5690505,"YB100WGHG","SM3DW",4,"Overworld",0,"Easy",0,"Auto mario"," Themed",5,8,"00:24.533",24533,"00:25.266",25266,7,3730243509,0,132,274,"48.18%",48.1751824817518,155,1,5,15,2,143,NA,NA
"Super Mario Adventure 3-1","Bob-Ombs","30-7-2023 8:54:34",1690707274,45912065,"9KK5GJH9G","SM3DW",4,"Overworld",0,"Easy",0,"Standard"," Single player",1,14,"00:31.806",31806,"01:09.583",69583,1,0,0,27,51,"52.94%",52.9411764705882,34,0,2,3,1,35,NA,NA
"la casa di yoshi invernale","P:39,55%","28-5-2022 18:45:20",1653763520,38145631,"2MQTB5JDF","NSMBU",3,"Snow",6,"Easy",0,"None"," None",0,0,"00:22.001",22001,"00:52.817",52817,1,0,0,13,21,"61.90%",61.9047619047619,15,0,0,1,0,12,NA,NA
"†最""期""の生活………†　†finale life………†　　　","………………………………………………………………………………………………………………………………………………………………………………………………………","28-11-2023 7:23:16",1701156196,47859300,"YLCSLGMJF","NSMBU",3,"Underground",1,"Easy",0,"Themed"," Art",8,10,"00:28.149",28149,"01:04.799",64799,2,0,0,51,57,"89.47%",89.4736842105263,55,37,0,12,4,88,NA,NA
"Jungle Adventure","I hope you like it :)","3-8-2019 19:51:22",1564861882,7580660,"C4P1JPTXF","NSMBU",3,"Forest",9,"Easy",0,"Standard"," Themed",1,8,"00:28.021",28021,"01:08.003",68003,0,0,0,81,243,"33.33%",33.3333333333333,106,4,4,9,1,108,NA,NA
